disp,load
0,0
0.5,1.637356513
1,3.270218988
1.5,4.874946379
2,6.404144951
2.5,7.812523666
3,9.075110131
3.5,10.189306
4,11.16691623
4.5,12.02274642
5,12.77516436
5.5,13.43829069
6,14.02603368
6.5,14.54832851
7,15.01634974
7.5,15.43793043
8,15.81993118
8.5,16.16595924
9,16.48111535
9.5,16.76796028
10,17.03189385
10.5,17.27620162
11,17.50176578
11.5,17.71062669
12,17.90560755
12.5,18.08870068
13,18.25956093
13.5,18.42072647
14,18.57263085
14.5,18.71647374
15,18.85360536
15.5,18.98437873
16,19.10867764
16.5,19.22725452
17,19.34089318
17.5,19.45010944
18,19.55479881
18.5,19.65510641
19,19.75176413
19.5,19.84537968
20,19.93567187
20.5,20.02259513
21,20.10735017
21.5,20.19022597
22,20.27011623
22.5,20.34834697
23,20.42406477
23.5,20.49800783
24,20.57016197
24.5,20.64061926
25,20.70870198
25.5,20.77605659
26,20.84173008
26.5,20.90633938
27,20.96931064
27.5,21.03186627
28,21.08604852
28.5,21.14489899
29,21.20290181
29.5,21.25976878
30,21.31845908
30.5,21.37992235
31,21.44046118
31.5,21.49999425
32,21.55864023
32.5,21.60903881
33,21.67260487
33.5,21.72152261
34,21.77562461
34.5,21.82894043
35,21.88974742
35.5,21.93533118
36,21.9856134
36.5,22.03610988
37,22.08604028
37.5,22.13528143
38,22.18400817
38.5,22.23222664
39,22.28012287
39.5,22.32740922
40,22.37427708
