disp,load,stress,strain
0,0,0,0
0.5,1.638444049,53.9013,0.000278
1,3.272493739,108.23,0.00056
1.5,4.878875418,159.607,0.000865
2,6.410180762,199.568,0.001209
2.5,7.821368747,228.168,0.001601
3,9.087329193,249.765,0.002035
3.5,10.20504637,267.159,0.002504
4,11.18615745,281.484,0.003005
4.5,12.04441661,293.583,0.003527
4.75,12.43433631,299.22,0.003795
4.875,12.62004509,301.723,0.003929
4.925,12.69435559,302.765,0.003985
4.9625,12.749612,303.548,0.004026
5,12.80439526,304.334,0.004068
